Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
10004,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10012,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10019,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10026,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10028,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10029,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10031,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10040,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10041,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10044,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10052,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10054,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10055,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10061,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10064,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10073,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10074,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10101,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10110,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10121,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10122,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10123,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10124,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10125,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10126,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10127,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10128,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10129,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10130,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10131,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10132,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10133,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10134,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10135,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10136,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
10137,Stockholm,STOCKHOLM,0180,Stockholms län,59.326142,17.9820525,"https://www.google.se/maps/@59.326142,17.9820525,12z?entry=ttu"
